Gene	pval	adjp	log2fc	Chr	Start	End	Strand	Biotype	Name	Description	Cnt_1 count	Cnt_2 count	Cnt_3 count	Cnt_4 count	Cnt_6 count	Oxy_1 count	Oxy_2 count	Oxy_3 count	Oxy_4 count	Oxy_5 count	Oxy_6 count	Cnt_1 normalised count	Cnt_2 normalised count	Cnt_3 normalised count	Cnt_4 normalised count	Cnt_6 normalised count	Oxy_1 normalised count	Oxy_2 normalised count	Oxy_3 normalised count	Oxy_4 normalised count	Oxy_5 normalised count	Oxy_6 normalised count
ENSDARG00000034503	1.1999190559481999e-76	2.592425120376086e-72	1.2987731668431817	2	48309600	48375342	-1	protein_coding	per2	period circadian clock 2 [Source:ZFIN;Acc:ZDB-GENE-011220-2]	575	760	717	571	737	1526	1720	1758	1401	1538	1709	633.7050996814498	715.1807979814168	597.1434319907022	573.4654227106606	677.0434004532351	1513.1779511823888	1732.8692012706665	1513.9863127689925	1550.990928019396	1563.2837305841786	1564.2852463163244
ENSDARG00000031683	1.9491599728661852e-47	2.1055800606886966e-43	-1.7263591710469182	20	46552311	46554440	-1	protein_coding	fosab	v-fos FBJ murine osteosarcoma viral oncogene homolog Ab [Source:ZFIN;Acc:ZDB-GENE-031222-4]	555	976	720	537	953	198	205	266	222	193	232	611.6631831707907	918.4427089866616	599.6419400743453	539.3186199573113	875.4713170039797	196.33632656232828	206.53382922121315	229.07870261464848	245.76729908658524	196.17279584053736	212.35469698384276
ENSDARG00000099195	1.8891877295184543e-27	1.3605300298748736e-23	-0.8877579254145246	3	33761549	33762726	1	protein_coding	ier2a	immediate early response 2a [Source:NCBI gene;Acc:797137]	447	685	605	550	652	330	313	328	313	257	308	492.63683401323146	644.6037455490401	503.8657968680262	552.3747504218272	598.9583406994699	327.22721093721384	315.3418953475108	282.4729866827244	346.50975051396927	261.2249146684876	281.91916668544644
ENSDARG00000104773	2.0661790708303126e-26	1.1159949706322226e-22	-0.7515793787515823	3	7654655	7656059	-1	protein_coding	junbb	JunB proto-oncogene, AP-1 transcription factor subunit b [Source:ZFIN;Acc:ZDB-GENE-040426-2666]	794	1066	946	875	987	496	519	595	545	490	596	875.0640854731673	1003.1351719055136	787.8628823754592	878.7780120347252	906.7053409054859	491.8324140147214	522.8832066624859	512.4128874275032	603.3476486585088	498.0552847764938	545.531893975734
ENSDARG00000055752	3.679055095143318e-22	1.4226675426250608e-18	-0.7200445098640302	14	30636955	30642819	-1	protein_coding	npas4a	neuronal PAS domain protein 4a [Source:NCBI gene;Acc:724016]	682	748	825	578	793	430	419	528	366	392	443	751.6293530134762	703.8884695922366	687.0897230018539	580.4956468069385	728.4876751145392	426.3869718272786	422.13499728628443	454.7126127087759	405.183925521127	398.44422782119506	405.4876326027687
ENSDARG00000037421	4.554438226127322e-22	1.4226675426250608e-18	-0.6645342136677493	14	21332522	21336385	-1	protein_coding	egr1	early growth response 1 [Source:NCBI gene;Acc:30498]	1968	2827	2816	1927	2686	1324	1434	1768	1363	1402	1696	2168.924584648858	2660.2843630177176	2345.2662545129947	1935.3202619324748	2467.487888218982	1312.875234184458	1444.72932245473	1522.5982940702952	1508.9226515991697	1425.0479780747844	1552.3860607094712
ENSDARG00000078567	4.609429668306145e-22	1.4226675426250608e-18	0.6241057753652595	8	13700605	13788311	1	protein_coding	lonrf1l	LON peptidase N-terminal domain and ring finger 1, like [Source:ZFIN;Acc:ZDB-GENE-081104-397]	985	1139	1201	881	1138	1607	1549	1700	1585	1481	1677	1085.564388149962	1071.8301696063602	1000.2360694851232	884.8039184029633	1045.4211529386453	1593.4973575033412	1560.5897632373617	1464.0368212214375	1754.6899506857549	1505.3466872530355	1534.9949432840704
ENSDARG00000086881	8.813434053928441e-21	2.3801780341890498e-17	-0.9134893181139042	11	31038409	31039533	-1	protein_coding	ier2b	immediate early response 2b [Source:ZFIN;Acc:ZDB-GENE-030131-8244]	422	539	479	439	520	234	255	269	268	210	251	465.08443837490756	507.2137501473469	398.9284573550158	440.8954826094221	477.6968361406815	232.03384048275163	256.9079339093139	231.66229700503925	296.69205475317494	213.45226490421163	229.74581440924368
ENSDARG00000045768	1.5642335012635917e-20	3.755029421644433e-17	0.44830533012827883	4	12013043	12026507	1	protein_coding	cry1a	cryptochrome circadian regulator 1a [Source:ZFIN;Acc:ZDB-GENE-010426-2]	1388	1661	1833	1316	1619	2017	2111	2180	1920	1915	2287	1529.7090058397434	1563.0464545357017	1526.5884391059374	1321.6821301002267	1487.2907263687757	2000.0523771526068	2126.7946999316146	1877.4119236839613	2125.5550191272237	1946.4813680550728	2093.3413448364154
ENSDARG00000020298	7.398764907621008e-19	1.5985031582915188e-15	-0.8399746464765601	22	336256	339623	1	protein_coding	btg2	B-cell translocation gene 2 [Source:ZFIN;Acc:ZDB-GENE-000210-15]	1014	1357	1391	1127	1349	684	593	898	553	572	793	1117.5251670904177	1276.974135343135	1158.4749147825198	1131.866079500726	1239.2558306803448	678.2527644880432	597.4368816008752	773.3559208569711	612.2041279048722	581.403312024805	725.8503220180487
